GEO,UNIT,SECTOR,NA_ITEM\TIME	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Finland,Million euro,General government,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	0.0	392.0	1 316.1	3 707.7	4 432.5	4 617.3	4 406.9	4 406.9	4 406.9	4 406.9	4 368.3
Belgium,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	129.6	830.3	2 585.6	7 198.0	8 599.8	8 956.4	8 547.0	8 545.9	8 545.5	8 545.3	8 471.0
Germany (until 1990 former territory of the FRG),Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	784.0	6 048.9	19 993.8	56 090.9	67 024.4	69 803.8	66 764.3	66 750.7	66 737.4	66 966.3	65 983.5
Ireland,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	347.4	347.4	347.4	347.4	347.4	347.4	347.4	347.4	347.4	347.4
Greece,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spain,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	2 597.6	8 717.0	24 541.7	29 350.7	30 574.7	29 181.1	29 181.1	29 181.1	29 181.1	28 925.8
France,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	4 449.0	14 928.8	42 029.8	50 266.2	52 362.4	49 975.8	49 975.8	49 975.8	49 975.8	49 538.5
Italy,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	3 909.1	13 117.8	36 932.3	44 155.9	45 997.8	43 900.6	43 900.6	43 900.6	43 900.6	43 516.4
Cyprus,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	42.8	143.9	404.7	392.8	361.6	338.6	338.6	338.6	338.6	334.4
Luxembourg,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	54.6	183.3	516.5	617.4	643.2	613.9	613.9	613.9	652.5	647.1
Malta,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	19.8	66.1	186.6	223.2	232.5	221.9	221.9	221.9	221.9	219.9
Netherlands,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	1 247.0	4 186.7	11 791.0	14 096.4	14 684.2	14 014.9	14 014.9	14 014.9	14 014.9	13 892.3
Austria,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	607.4	2 038.2	5 740.7	6 863.1	7 149.3	8 053.4	6 823.4	6 823.4	6 823.4	6 763.7
Portugal,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	547.6	1 212.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3
Slovenia,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	102.9	325.2	972.0	1 162.0	1 210.5	1 155.3	1 155.3	1 155.3	1 155.3	1 145.2
Slovakia,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	0.0	172.6	1 494.0	1 894.8	1 997.0	1 880.6	1 880.6	1 880.6	1 880.6	1 859.3
Finland,Million euro,General government,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	0.0	392.0	1 316.1	3 707.7	4 432.5	4 617.3	4 406.9	4 406.9	4 406.9	4 406.9	4 368.3
Belgium,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	129.6	830.3	2 585.6	7 198.0	8 599.8	8 956.4	8 547.0	8 545.9	8 545.6	8 545.3	8 471.0
Germany (until 1990 former territory of the FRG),Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	784.0	6 048.9	19 993.8	56 090.9	67 024.4	69 803.8	66 764.3	66 750.7	66 737.4	66 966.3	65 983.5
Ireland,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	347.4	347.4	347.4	347.4	347.4	347.4	347.4	347.4	347.4	347.4
Greece,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spain,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	2 597.6	8 717.0	24 541.7	29 350.7	30 574.7	29 181.1	29 181.1	29 181.1	29 181.1	28 925.8
France,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	4 449.0	14 928.8	42 029.8	50 266.2	52 362.4	49 975.8	49 975.8	49 975.8	49 975.8	49 538.5
Italy,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	3 909.1	13 117.8	36 932.3	44 155.9	45 997.8	43 900.6	43 900.6	43 900.6	43 900.6	43 516.4
Cyprus,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	42.8	143.9	404.7	392.8	361.6	338.6	338.6	338.6	338.6	334.4
Luxembourg,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	54.6	183.3	516.5	617.4	643.2	613.9	613.9	613.9	652.5	647.1
Malta,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	19.8	66.1	186.6	223.2	232.5	221.9	221.9	221.9	221.9	219.9
Netherlands,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	1 247.0	4 186.7	11 791.0	14 096.4	14 684.2	14 014.9	14 014.9	14 014.9	14 014.9	13 892.3
Austria,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	607.4	2 038.2	5 740.7	6 863.1	7 149.3	8 053.4	6 823.4	6 823.4	6 823.4	6 763.7
Portugal,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	547.6	1 212.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3	1 119.3
Slovenia,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	102.9	325.2	972.0	1 162.0	1 210.5	1 155.3	1 155.3	1 155.3	1 155.3	1 145.2
Slovakia,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	0.0	172.6	1 494.0	1 894.8	1 997.0	1 880.6	1 880.6	1 880.6	1 880.6	1 859.3
Finland,Million euro,General government,Intergovernmental lending within EU27 (from 2020)	:	:	:	:	:	:	:	:	:	:	0.0	392.0	1 316.1	3 707.7	4 432.5	4 617.3	4 406.9	4 406.9	4 406.9	4 406.9	4 368.3
Belgium,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,General government,Gross national income at market prices	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	598.0	597.2	479.7	549.3	686.8	784.5	893.7	1 009.0	1 115.7	1 176.4	1 279.3	1 393.0	1 476.5	1 447.3	1 394.9	1 348.4	1 379.9	1 396.8	1 423.7	1 459.3	1 472.7
Germany (until 1990 former territory of the FRG),Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	9 432.9	10 939.5	10 127.3	7 244.1	6 851.2	5 284.3	5 402.1	7 410.4	6 674.6	12 466.3	9 980.6	10 889.8	10 429.2	9 742.1	10 592.4	12 149.5	14 303.3	15 844.8	14 650.6	14 832.8	14 595.3
Ireland,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	8 118.6	8 060.6	7 830.8	7 735.4	7 908.7	8 075.4	8 319.8	8 073.0	7 675.7	8 844.8	10 308.4	13 711.2	58 388.1	62 099.1	31 356.0	20 917.9	20 713.2	21 315.0	21 599.8	21 647.8	22 213.1
Greece,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	561.2	497.0	603.0	1 260.0	1 149.0	1 315.0	1 378.0	1 085.0	751.0	844.0	1 663.0	1 203.0	1 106.0	1 055.0	1 088.0	6 374.0	5 546.0	5 987.0	6 008.0	6 245.0	6 520.0
Spain,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	2 643.0	2 595.0	2 522.0	2 134.0	2 307.0	2 543.0	2 798.0	3 064.0	3 307.0	3 420.0	3 468.0	3 584.0	3 685.0	3 681.0	3 696.0	3 847.0	4 056.0	4 247.0	4 462.0	4 707.0	4 876.0
France,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	45 522.0	37 040.0	31 206.0	22 972.0	16 803.0	15 567.0	16 027.0	21 893.0	24 120.0	28 319.0	25 966.0	28 036.0	36 008.0	40 791.0	39 280.0	37 994.0	39 095.0	36 932.0	38 089.0	40 756.0	45 744.0
Italy,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	156 709.9	166 748.3	194 290.5	210 391.2	181 923.8	201 272.5	218 359.9	222 109.8	209 963.3	209 375.2	220 296.6	221 526.8	214 431.7	220 501.9	218 166.5	232 300.0	237 785.6	232 937.8	232 369.9	237 605.2	227 292.4
Cyprus,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	654.8	1 020.4	936.7	0.0	0.0	0.0	0.0	0.0	0.0	73.9	82.4	92.3	96.9	97.0	99.6	104.3	111.6	118.6	128.6	138.2	145.7
Luxembourg,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	35.8	31.2	95.2	110.1	81.9	104.4	124.3	168.1	186.6	202.2	219.2	232.5	246.3	261.8	274.1	260.7	272.2	281.7	290.6	300.9	310.5
Malta,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	:	:	:	:	:	:	:	:	8.3	31.2	37.2	41.0	45.8	50.4	55.3	60.4	68.5	72.8	177.8	277.0	379.0
Netherlands,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	2 185.0	2 655.0	3 072.0	1 833.0	1 920.0	1 265.0	3 021.0	2 672.0	2 707.0	2 564.0	1 689.0	1 369.0	1 740.0	1 095.0	1 139.0	982.0	1 820.0	3 844.0	1 930.0	1 579.0	1 660.0
Austria,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	0.0	0.0	0.0	451.0	576.0	659.0	736.0	786.0	865.0	960.0	9 476.0	7 602.0	7 022.3	4 581.0	3 314.0	4 388.0	5 415.0	5 580.0	1 594.0	1 650.0	1 705.0
Portugal,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	12 986.4	14 090.5	15 200.8	16 081.2	16 747.9	16 606.0	17 029.8	19 081.5	20 011.8	18 917.6	18 550.0	18 022.7	14 945.6	13 525.7	14 514.6	18 976.4	22 815.1	26 831.8	29 461.4	30 795.5	31 803.2
Slovenia,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	3.2	3.7	4.5	6.0	7.9	11.6	14.5	48.5	210.6	125.7	128.2	145.3	157.0	148.1	170.3	162.4	161.5	165.7	171.8	173.6	183.0
Slovakia,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.4	104.9	107.5	83.5	71.1	100.8	93.2	109.9	105.4	420.8	308.3	200.6	326.1	359.4
Finland,Million euro,General government,Government consolidated gross debt at face value - Currency and deposits	240.7	252.0	210.0	236.0	264.0	298.0	354.0	387.0	417.0	444.0	704.0	661.0	767.0	555.0	614.0	752.0	831.0	874.0	908.0	787.0	901.0
Belgium,Million euro,General government,Government consolidated gross debt at face value - Debt securities	241 981.7	244 384.6	249 316.6	250 258.6	244 066.9	246 786.2	249 913.6	250 960.5	253 418.3	279 148.6	295 409.4	307 583.6	325 100.0	335 748.1	341 042.3	345 853.6	354 508.5	367 241.9	373 005.6	379 091.6	389 127.6
Germany (until 1990 former territory of the FRG),Million euro,General government,Government consolidated gross debt at face value - Debt securities	732 642.6	761 381.3	783 705.6	849 899.5	921 737.6	990 931.3	1 060 807.9	1 113 989.9	1 144 781.1	1 185 836.9	1 303 061.2	1 396 194.6	1 462 255.9	1 548 351.0	1 556 534.8	1 574 112.3	1 564 774.8	1 554 092.9	1 533 362.6	1 509 084.3	1 507 702.2
Ireland,Million euro,General government,Government consolidated gross debt at face value - Debt securities	31 180.2	27 695.9	29 747.6	31 544.1	33 994.2	34 236.4	34 085.2	33 603.5	37 386.3	67 983.4	91 535.1	96 380.6	94 030.5	87 326.3	112 665.0	119 078.0	125 766.3	123 880.6	130 120.8	134 233.0	133 571.2
Greece,Million euro,General government,Government consolidated gross debt at face value - Debt securities	102 112.6	107 750.0	115 137.0	125 282.0	136 866.0	155 706.0	172 451.0	184 156.0	201 108.0	225 449.0	262 773.0	262 555.0	251 622.0	93 432.0	79 194.0	69 466.0	61 084.0	57 162.0	54 938.0	52 882.0	57 854.0
Spain,Million euro,General government,Government consolidated gross debt at face value - Debt securities	302 662.0	314 607.0	318 532.0	323 779.0	321 441.0	320 460.0	323 784.0	321 797.0	313 618.0	356 381.0	472 678.0	533 300.0	609 419.0	668 295.0	759 391.0	819 454.0	869 444.0	916 672.0	970 547.0	1 013 385.0	1 031 024.0
France,Million euro,General government,Government consolidated gross debt at face value - Debt securities	628 957.0	661 050.0	701 104.0	766 416.0	850 757.0	921 769.0	983 427.0	978 782.0	1 019 758.0	1 132 916.0	1 353 896.0	1 429 056.0	1 536 726.0	1 582 198.0	1 653 450.0	1 705 516.0	1 762 335.0	1 863 986.0	1 939 609.0	1 992 711.0	2 053 994.0
Italy,Million euro,General government,Government consolidated gross debt at face value - Debt securities	1 091 504.0	1 111 070.1	1 144 148.1	1 147 415.1	1 169 643.4	1 208 993.8	1 246 606.4	1 286 129.5	1 318 119.2	1 383 849.4	1 470 052.3	1 548 524.6	1 604 196.7	1 654 200.8	1 735 505.4	1 793 492.1	1 823 558.3	1 874 323.7	1 913 400.2	1 963 345.5	2 009 306.1
Cyprus,Million euro,General government,Government consolidated gross debt at face value - Debt securities	4 179.0	4 268.5	5 061.3	5 033.8	5 713.9	6 460.2	6 859.6	6 803.9	6 564.7	5 125.7	6 661.3	7 485.2	8 866.8	9 184.5	7 576.9	6 678.8	5 893.3	6 309.5	6 590.6	10 819.2	12 139.9
Luxembourg,Million euro,General government,Government consolidated gross debt at face value - Debt securities	848.1	809.9	733.9	642.0	405.1	382.8	254.5	75.4	0.7	2 000.6	2 000.6	4 000.6	4 000.6	5 000.6	6 050.6	6 250.6	6 250.6	6 250.6	8 250.6	8 250.6	9 750.5
Malta,Million euro,General government,Government consolidated gross debt at face value - Debt securities	1 895.2	2 063.2	2 399.7	2 386.8	2 639.2	2 891.1	3 053.7	2 983.8	3 100.8	3 311.7	3 681.3	3 970.1	4 290.7	4 459.5	4 794.0	4 942.3	5 144.2	5 338.0	5 154.0	4 999.4	4 915.4
Netherlands,Million euro,General government,Government consolidated gross debt at face value - Debt securities	183 316.0	178 653.0	181 733.0	189 994.0	204 311.0	216 229.0	221 904.0	213 337.0	211 051.0	285 836.0	272 290.0	296 749.0	312 172.0	333 852.0	349 820.0	359 517.0	349 849.0	342 778.0	333 705.0	324 066.0	311 127.0
Austria,Million euro,General government,Government consolidated gross debt at face value - Debt securities	104 881.1	109 821.2	118 038.9	123 681.5	127 663.8	130 948.2	139 349.5	145 919.4	151 380.8	170 258.0	186 955.2	200 129.2	207 657.4	214 318.9	217 369.9	227 186.5	236 753.9	245 228.0	242 420.1	239 277.0	235 091.8
Portugal,Million euro,General government,Government consolidated gross debt at face value - Debt securities	47 082.2	49 022.0	54 327.6	59 119.1	62 274.8	67 573.0	80 056.2	86 079.7	89 133.9	99 292.8	115 205.0	135 040.9	124 154.4	116 884.8	114 281.1	111 476.4	121 722.6	132 766.2	142 151.4	149 327.9	151 636.2
Slovenia,Million euro,General government,Government consolidated gross debt at face value - Debt securities	3 757.6	4 234.9	4 762.2	5 535.7	5 865.8	6 399.0	6 531.9	7 186.0	6 979.9	7 310.1	11 345.9	12 152.4	15 146.6	16 271.8	22 010.4	26 340.7	27 330.2	26 653.3	27 671.6	28 258.4	27 705.6
Slovakia,Million euro,General government,Government consolidated gross debt at face value - Debt securities	4 598.0	5 048.9	8 288.2	8 557.7	9 641.5	11 284.2	10 966.1	12 700.9	14 474.4	16 641.7	20 377.9	24 923.9	27 037.3	32 786.5	34 334.6	35 162.1	35 184.3	35 873.9	37 048.4	37 755.3	38 184.1
Finland,Million euro,General government,Government consolidated gross debt at face value - Debt securities	49 854.6	51 239.0	51 863.0	51 499.0	53 231.0	56 285.0	54 105.0	54 883.0	51 767.0	50 474.0	61 309.0	72 830.0	76 465.0	82 960.0	88 640.0	95 418.0	102 071.0	104 656.0	106 611.0	106 787.0	108 067.0
Belgium,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	29 575.5	25 837.9	26 594.2	24 547.6	20 741.4	24 955.6	24 959.5	27 096.6	28 933.3	49 842.7	41 923.0	43 147.0	39 642.1	34 110.2	27 308.3	30 045.6	28 472.7	28 607.7	29 143.2	27 634.8	28 851.5
Germany (until 1990 former territory of the FRG),Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	12 083.8	11 219.4	22 818.8	30 636.2	35 800.5	35 662.9	36 969.1	37 900.1	39 409.5	44 733.9	106 510.0	86 708.0	116 289.1	106 944.8	85 836.3	72 618.0	65 676.5	69 714.7	48 789.1	52 572.5	49 219.3
Ireland,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	2 702.5	2 012.8	6 988.0	7 252.9	4 525.2	2 003.1	1 556.9	1 554.3	5 598.5	25 540.2	20 460.3	7 203.3	3 794.4	2 514.4	2 340.2	3 759.6	1 379.6	2 395.5	2 929.4	2 987.5	3 356.7
Greece,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	4 674.4	1 766.0	747.0	966.0	542.0	1 464.0	1 156.0	943.0	1 625.0	5 496.0	10 024.0	8 273.0	10 850.0	15 309.0	10 872.0	12 190.0	10 884.0	10 087.0	14 261.0	11 144.0	11 752.0
Spain,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	21 932.0	13 281.0	13 132.0	15 702.0	16 671.0	15 284.0	11 077.0	11 379.0	26 031.0	52 692.0	86 102.0	68 897.0	74 185.0	60 576.0	78 861.0	77 415.0	80 594.0	82 242.0	75 536.0	66 422.0	66 735.0
France,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	32 306.0	39 399.0	45 012.0	86 416.0	107 935.0	110 675.0	108 132.0	68 205.0	79 554.0	154 392.0	233 854.0	212 261.0	227 244.0	192 770.0	199 837.0	197 273.0	180 124.0	171 126.0	170 600.0	147 557.0	145 822.0
Italy,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	119 759.1	101 923.2	113 700.3	113 325.2	119 382.0	118 383.6	117 459.7	122 307.0	127 940.8	147 371.0	139 910.7	129 862.4	131 181.1	151 554.6	140 580.9	124 540.0	115 032.3	107 026.1	106 562.7	107 357.6	113 786.3
Cyprus,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	1 723.4	1 529.2	1 671.7	1 067.5	1 103.2	897.0	647.7	539.7	201.7	476.4	925.6	488.5	1 432.1	2 863.6	2 733.9	1 814.4	398.5	299.8	200.0	251.9	300.0
Luxembourg,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Malta,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	197.0	354.5	399.0	460.5	538.1	563.0	440.5	370.0	353.1	365.4	473.8	377.6	257.1	154.1	248.1	140.4	222.1	254.0	177.0	290.0	300.0
Netherlands,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	6 526.0	6 893.0	7 200.0	17 404.0	21 569.0	18 959.0	19 116.0	14 846.0	17 705.0	84 591.0	58 416.0	53 822.0	43 870.0	32 976.0	26 151.0	23 441.0	14 051.0	16 605.0	16 950.0	21 892.0	17 062.0
Austria,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	5 017.8	6 653.2	4 215.0	2 519.0	1 488.0	1 851.3	1 066.7	1 728.0	2 205.6	10 011.7	9 786.4	9 125.8	6 045.0	8 273.1	8 789.7	10 162.3	9 038.6	11 466.0	4 732.4	6 279.6	7 822.2
Portugal,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	942.8	590.1	2 311.1	431.1	4 096.0	10 469.4	13 384.9	10 303.2	10 504.5	17 366.4	20 643.5	21 715.2	12 036.4	13 025.3	7 411.6	12 681.4	10 537.9	14 956.8	15 400.4	13 264.8	11 245.2
Slovenia,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	65.4	162.2	249.0	365.0	305.7	378.0	256.3	295.8	133.0	89.0	749.5	25.0	28.3	712.6	596.0	897.1	369.5	305.6	398.0	381.0	245.5
Slovakia,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	1 197.0	773.4	1 651.1	1 623.6	1 666.2	1 003.5	153.7	0.0	0.0	741.0	940.6	1 268.9	1 137.2	1 316.1	11.8	0.0	0.0	400.0	0.0	800.0	0.0
Finland,Million euro,General government,Government consolidated gross debt at face value - Short-term debt securities	1 467.8	5 109.0	6 991.0	7 314.0	5 913.0	7 843.0	4 117.0	6 629.0	6 778.0	7 279.0	12 119.0	12 011.0	8 447.0	6 317.0	5 322.0	6 140.0	7 339.0	5 448.0	8 694.0	6 508.0	8 699.0
Belgium,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	212 406.3	218 546.8	222 722.4	225 711.0	223 325.5	221 830.7	224 954.1	223 863.9	224 485.0	229 305.9	253 486.3	264 436.7	285 457.9	301 637.9	313 734.0	315 807.9	326 035.7	338 634.1	343 862.3	351 456.8	360 276.1
Germany (until 1990 former territory of the FRG),Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	720 558.8	750 161.8	760 886.8	819 263.3	885 937.1	955 268.3	1 023 838.8	1 076 089.8	1 105 371.6	1 141 103.0	1 196 551.2	1 309 486.6	1 345 966.9	1 441 406.2	1 470 698.5	1 501 494.2	1 499 098.3	1 484 378.2	1 484 573.5	1 456 511.8	1 458 482.9
Ireland,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	28 477.7	25 683.1	22 759.7	24 291.3	29 469.1	32 233.3	32 528.3	32 049.1	31 787.8	42 443.2	71 074.9	89 177.3	90 236.1	84 812.0	110 324.7	115 318.4	124 386.7	121 485.1	127 191.4	131 245.5	130 214.5
Greece,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	97 438.2	105 984.0	114 390.0	124 316.0	136 324.0	154 242.0	171 295.0	183 213.0	199 483.0	219 953.0	252 749.0	254 282.0	240 772.0	78 123.0	68 322.0	57 276.0	50 200.0	47 075.0	40 677.0	41 738.0	46 102.0
Spain,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	280 730.0	301 326.0	305 400.0	308 076.0	304 771.0	305 176.0	312 707.0	310 418.0	287 587.0	303 690.0	386 576.0	464 403.0	535 234.0	607 718.0	680 530.0	742 039.0	788 850.0	834 430.0	895 011.0	946 963.0	964 290.0
France,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	596 651.0	621 651.0	656 092.0	680 000.0	742 822.0	811 095.0	875 295.0	910 578.0	940 204.0	978 524.0	1 120 042.0	1 216 795.0	1 309 482.0	1 389 428.0	1 453 614.0	1 508 243.0	1 582 211.0	1 692 861.0	1 769 009.0	1 845 154.0	1 908 172.0
Italy,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	971 744.9	1 009 146.8	1 030 447.8	1 034 089.9	1 050 261.5	1 090 610.2	1 129 146.7	1 163 822.6	1 190 178.4	1 236 478.3	1 330 141.6	1 418 662.2	1 473 015.6	1 502 646.2	1 594 924.5	1 668 952.1	1 708 526.0	1 767 297.5	1 806 837.5	1 855 987.9	1 895 519.7
Cyprus,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	2 455.6	2 739.3	3 389.6	3 966.3	4 610.7	5 563.3	6 211.9	6 264.1	6 363.0	4 649.3	5 735.7	6 996.7	7 434.7	6 320.9	4 843.0	4 864.4	5 494.7	6 009.8	6 390.6	10 567.3	11 839.9
Luxembourg,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	848.1	809.9	733.9	642.0	405.1	382.8	254.5	75.4	0.7	2 000.6	2 000.6	4 000.6	4 000.6	5 000.6	6 050.6	6 250.6	6 250.6	6 250.6	8 250.6	8 250.6	9 750.5
Malta,Million euro,General government,Government consolidated gross debt at face value - Long-term debt securities	1 698.2	1 708.8	2 000.7	1 926.3	2 101.1	2 328.1	2 613.2	2 613.8	2 747.6	2 946.3	3 207.5	3 592.5	4 033.5	4 305.4	4 545.9	4 801.9	4 922.1	5 084.0	4 977.0	4 709.4	4 615.4
